,ssoc_2015,ssoc_2015_title
651,31571,Air Transport Service Supervisor
652,31572,Mrt Service Supervisor
653,31573,Road Transport Supervisor
654,31574,Port/Shipping Operations Supervisor
655,31579,Other Transport Operations Supervisors
656,3159,Transport Controllers And Related Workers Not Elsewhere Classified
657,31591,Port Master/Dockmaster
658,31592,Port Captain
659,31593,Flight Operations Officer
660,31594,Air Cargo Officer
661,31595,Load-Sheet Officer (Aircraft)
662,31596,Mrt Operations Officer
663,31599,Other Transport Controllers And Related Workers N.E.C.
664,316,Premises And Parks Officers
665,3160,Premises And Parks Officers
666,31601,Premises And Facilities Maintenance Officer
667,31602,Landscape Operations Officer
668,31603,Parks Officer
669,317,"Building, Quality And Safety Inspectors"
670,3171,Building And Fire Inspectors
671,31711,Fire And Safety Inspector
672,31719,Other Building And Fire Inspectors
673,3172,Quality And Safety Inspectors
674,31720,"Safety Inspector (Vehicles, Processes And Products)"
675,32,Health Associate Professionals
676,321,Medical And Pharmaceutical Technicians
677,3211,Medical Imaging And Therapeutic Equipment Technicians
678,32111,Sonographer
679,32112,Medical X-Ray Technician
680,32119,"Other Medical Imaging, Therapeutic Equipment Technicians And Related Associate Professionals"
681,3212,Medical And Pathology Laboratory Technicians
682,32120,Medical And Pathology Laboratory Technician
683,3213,Pharmacy Technicians
684,32130,Pharmacy Technician
685,3214,Medical And Dental Prosthetic Technicians
686,32141,Prostheist/Orthopaedic Technician
687,32142,Orthotist/Orthopaedic Appliance Maker And Repairer
688,32143,Dental Technician
689,322,Nursing Associate Professionals
690,3220,Nursing Associate Professionals
691,32200,Enrolled/Assistant Nurse (Excluding Registered Nurse)
692,323,Traditional And Complementary Medicine Associate Professionals
693,3230,Traditional And Complementary Medicine Associate Professionals
694,32300,Traditional And Complementary Medicine Associate Professional (Eg Homeopath And Naturopath)
695,324,Veterinary Technicians And Assistants
696,3240,Veterinary Technicians And Assistants
697,32400,Veterinary Technician/Assistant
698,325,Other Health Associate Professionals
699,3251,Dental Assistants And Therapists
700,32511,Dental Assistant
701,32512,Oral Health Therapist (Eg Dental Therapists And Dental Hygienists)
702,3253,Community Health Workers
703,32530,Community Health Worker
704,3254,Opticians
705,32540,Optician
706,3255,Physiotherapy Technicians And Related Associate Professionals
707,32551,Massage Therapist
708,32559,Other Physiotherapy Technicians And Related Associated Professionals
709,3257,Environmental And Occupational Health Inspectors
710,32571,Environmental Inspector (Environmental Public Health)
711,32572,Occupational Health Inspector
712,3259,Health Associate Professionals Not Elsewhere Classified
713,32591,Paramedic
714,32599,Other Health Associate Professionals N.E.C.
715,33,Business And Administration Associate Professionals
716,331,Financial And Mathematical Associate Professionals
717,3312,Credit And Loans Officers
718,33120,Credit And Loans Officer
719,3313,Accounting Associate Professionals
720,33130,"Accounting Associate Professional (Eg Assistant Accountant, Audit (Accounting) Executive)"
721,3315,Valuers And Loss Assessors
722,33151,Appraiser/Valuer (Excluding Intangible Asset Valuer)
723,33152,Assessor
